name,index,year,D,S
Edirne,SPI12,2017,9,9.448
Edirne,SPI12,2017,10,9.759
Edirne,SPI12,2017,11,10.052
Edirne,SPI12,2017,12,10.349
Edirne,SPI12,2018,1,0.0
Edirne,SPI12,2018,2,0.0
Edirne,SPI12,2018,3,0.0
Edirne,SPI12,2018,4,0.0
Edirne,SPI12,2018,5,0.0
Edirne,SPI12,2018,6,0.0
Edirne,SPI12,2018,7,0.0
Edirne,SPI12,2018,8,0.0
Edirne,SPI12,2018,9,0.0
Edirne,SPI12,2018,10,0.0
Edirne,SPI12,2018,11,0.0
Edirne,SPI12,2018,12,0.0
Edirne,SPI12,2019,1,1.501
Edirne,SPI12,2019,2,2.744
Edirne,SPI12,2019,3,3.003
Edirne,SPI12,2019,4,3.129
Edirne,SPI12,2019,5,3.238
Edirne,SPI12,2019,6,3.644
Edirne,SPI12,2019,7,3.831
Edirne,SPI12,2019,8,0.0
Edirne,SPI12,2019,9,0.0
Edirne,SPI12,2019,10,0.0
Edirne,SPI12,2019,11,0.0
Edirne,SPI12,2019,12,0.0
Edirne,SPI12,2020,1,2.178
Edirne,SPI12,2020,2,4.093
Edirne,SPI12,2020,3,5.646
Edirne,SPI12,2020,4,7.147
Edirne,SPI12,2020,5,8.39
Edirne,SPI12,2020,6,9.578
Edirne,SPI12,2020,7,10.486
Edirne,SPI12,2020,8,11.328
Edirne,SPI12,2020,9,12.933
Edirne,SPI12,2020,10,14.434
Edirne,SPI12,2020,11,15.742
Edirne,SPI12,2020,12,17.243
Edirne,SPI12,2021,1,0.0
Edirne,SPI12,2021,2,0.0
Edirne,SPI12,2021,3,0.0
Edirne,SPI12,2021,4,0.0
Edirne,SPI12,2021,5,0.0
Edirne,SPI12,2021,6,0.0
Edirne,SPI12,2021,7,0.0
Edirne,SPI12,2021,8,0.0
Edirne,SPI12,2021,9,0.0
Edirne,SPI12,2021,10,0.0
Edirne,SPI12,2021,11,0.0
Edirne,SPI12,2021,12,0.0
Edirne,SPI12,2022,1,1.164
Edirne,SPI12,2022,2,1.324
Edirne,SPI12,2022,3,1.794
Edirne,SPI12,2022,4,1.489
Edirne,SPI12,2022,5,1.612
Edirne,SPI12,2022,6,1.634
Edirne,SPI12,2022,7,0.0
Edirne,SPI12,2022,8,0.0
Edirne,SPI12,2022,9,0.0
Edirne,SPI12,2022,10,0.0
Edirne,SPI12,2022,11,0.0
Edirne,SPI12,2022,12,0.0
Edirne,SPI12,2023,1,1.581
Edirne,SPI12,2023,2,2.764
Edirne,SPI12,2023,3,3.685
Edirne,SPI12,2023,4,4.849
Edirne,SPI12,2023,5,5.522
Edirne,SPI12,2023,6,5.898
Edirne,SPI12,2023,7,6.328
Edirne,SPI12,2023,8,6.648
Edirne,SPI12,2023,9,7.469
Edirne,SPI12,2023,10,8.471
Edirne,SPI12,2023,11,9.554
Edirne,SPI12,2023,12,10.14
Edirne,SPI12,2024,1,1.757
Edirne,SPI12,2024,2,3.212
Edirne,SPI12,2024,3,4.3
Edirne,SPI12,2024,4,5.341
Edirne,SPI12,2024,5,6.736
Edirne,SPI12,2024,6,8.008
Edirne,SPI12,2024,7,9.463
Edirne,SPI12,2024,8,10.629
Edirne,SPI12,2024,9,11.601
Edirne,SPI12,2024,10,12.025
Edirne,SPI12,2024,11,12.486
Edirne,SPI12,2024,12,13.12
Edirne,SPEI12,1966,1,0.0
Edirne,SPEI12,1966,2,0.0
Edirne,SPEI12,1966,3,0.0
Edirne,SPEI12,1966,4,0.0
Edirne,SPEI12,1966,5,0.0
Edirne,SPEI12,1966,6,0.0
Edirne,SPEI12,1966,7,0.0
Edirne,SPEI12,1966,8,0.0
Edirne,SPEI12,1966,9,0.0
Edirne,SPEI12,1966,10,0.0
Edirne,SPEI12,1966,11,0.0
Edirne,SPEI12,1966,12,0.0
Edirne,SPEI12,1967,1,0.075
Edirne,SPEI12,1967,2,0.0
Edirne,SPEI12,1967,3,0.0
Edirne,SPEI12,1967,4,0.0
Edirne,SPEI12,1967,5,0.0
Edirne,SPEI12,1967,6,0.0
Edirne,SPEI12,1967,7,0.0
Edirne,SPEI12,1967,8,0.0
Edirne,SPEI12,1967,9,0.0
Edirne,SPEI12,1967,10,0.0
Edirne,SPEI12,1967,11,0.0
Edirne,SPEI12,1967,12,0.0
